post_id,page_content
M.1604744875.A.719,周思齊張葦航炭治郎賈伯斯柯文哲川普
M.1604029708.A.7CA,校長啊倪衍玄院長政治系朱雲漢應該算吧，不過很紅就是了
M.1591876409.A.9E5,有什麼樣的教授 選出什麼樣的校長遵守校規很難？學生會長這什麼態度？
M.1584167807.A.C0A,管黑：校長物化學生，應該下台負責至少比認為學生是過客的校長好吧
M.1594170757.A.1C7,有感覺校長真的很認真推認真做事的校長，只有覺青還在崩潰
M.1589896722.A.BDB,樓上是說全台灣大學還是全台灣大學全台灣大學就是全台灣大學啊職業學生嘉瑜姐姐這篇抗議?畢業即從政胖虎id 不就xin重點不是自己來看高不高啊可以請哲學系推出一個哲學家皇帝出來嗎
M.1591898086.A.21C,不過這次不是社會議題了，而是校內的傅斯年校長，很
M.1586417759.A.391,副總統來社科院演講
M.1586666977.A.740,還有被詐騙的前校長李嗣涔在任時也大砍過教學助理預算。跟李校長沒啥關係啦
M.1585716930.A.F50,台科校方只會跟著台大老大走ㄚ
M.1598505628.A.201,好奇那個政府派員來要求台大是誰弄的呀？
M.1604556117.A.2DE,什麼時候換一個講話比較[正常]的校長來?
M.1603528155.A.885,喔原來退休的台大主管是註冊組前主任洪泰雄....
M.1600136716.A.C16,吳茂昆 可憐哪名字都有中
M.1591752805.A.7E4,向當權者獻媚 你是說以前的台大教授群嗎
M.1588568247.A.B8E,辭校長啊
M.1580701400.A.471,地大天大尊爵
M.1600318186.A.488,還是台大法律學院副教授陳妙芬。如果他已離職，照理說，誰啊？
M.1591791388.A.EC3,回樓樓上，搜尋「白色恐怖時期的臺大校長傅斯年」就
M.1604421095.A.9A0,惡搞台大校長，真的是綠共
M.1595395896.A.AFE,教授應該出來說句話吧？
M.1598700112.A.384,管校長會為台大人把關！
M.1588158177.A.C29,所以我不是說了嗎 有種就發公文正式問 留紀錄 私下問
M.1605362980.A.AA4,說私吞的可以報一下老師的名嗎？
M.1588732129.A.F2D,打假消息？那蔡總統的1.5個博士是不是假消息？
M.1586400466.A.068,哪個教授？學生不想讓習近平知道自己在上葉老師的課
M.1579180586.A.F9E,校長人很好，還送筆電
